nopd_item,type,typetext,priority,initialtype,initialtypetext,initialpriority,mapx,mapy,timecreate,timedispatch,timearrive,timeclosed,disposition,dispositiontext,selfinitiated,beat,block_address,zip,policedistrict,location,set,latitude,longitude
B2902022,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3682358,532514,02/25/2022 12:42:02 PM,,,02/25/2022 12:55:50 PM,DUP,DUPLICATE,N,8D06,007XX Saint Peter St,70130,8,POINT (-90.06532318 29.9582035),calls_for_service,,
B2906922,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3678978,521205,02/25/2022 01:26:34 PM,02/25/2022 01:58:23 PM,02/25/2022 02:17:46 PM,02/25/2022 02:36:18 PM,GOA,GONE ON ARRIVAL,N,6A06,023XX Laurel St,70130,6,POINT (-90.07639057 29.92721049),calls_for_service,,
B2911722,64G,ARMED ROBBERY WITH GUN,2C,64G,ARMED ROBBERY WITH GUN,2C,3704366,559103,02/25/2022 02:10:43 PM,02/25/2022 02:11:43 PM,02/25/2022 02:17:15 PM,02/25/2022 05:24:42 PM,RTF,REPORT TO FOLLOW,N,7O04,070XX Lawrence Rd,70126,7,POINT (-89.99484998 30.03062491),calls_for_service,,
B2917722,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3661631,531218,02/25/2022 03:19:42 PM,02/25/2022 04:01:55 PM,,02/25/2022 04:05:03 PM,DUP,DUPLICATE,N,2K02,017XX Monroe St,70118,2,POINT (-90.13081881 29.95525591),calls_for_service,,
B2921022,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3683749,546059,02/25/2022 03:48:36 PM,02/25/2022 04:11:06 PM,02/25/2022 04:26:57 PM,02/25/2022 04:32:31 PM,GOA,GONE ON ARRIVAL,N,3X02,036XX Frenchmen St,70122,3,POINT (-90.06045762 29.99540699),calls_for_service,,
B2921322,34S,AGGRAVATED BATTERY BY SHOOTING,2C,94,DISCHARGING FIREARM,2D,3680722,535741,02/25/2022 03:50:48 PM,,,02/25/2022 03:59:48 PM,DUP,DUPLICATE,N,1F02,N Claiborne Ave & Ursulines Ave,70116,1,POINT (-90.07037715 29.96712705),calls_for_service,,
B2921522,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3680939,536332,02/25/2022 03:52:10 PM,02/25/2022 03:53:17 PM,02/25/2022 03:56:17 PM,02/25/2022 06:02:37 PM,RTF,REPORT TO FOLLOW,N,1J02,012XX N Claiborne Ave,70116,1,POINT (-90.06967253 29.96874452),calls_for_service,,
B2921622,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3675496,529003,02/25/2022 03:52:28 PM,02/25/2022 03:54:22 PM,02/25/2022 03:56:00 PM,02/25/2022 03:58:08 PM,GOA,GONE ON ARRIVAL,N,6L01,012XX S Claiborne Ave,70125,6,POINT (-90.08711253 29.9487579),calls_for_service,,
B2941322,37,AGGRAVATED ASSAULT,2A,37,AGGRAVATED ASSAULT,2E,3678530,523137,02/25/2022 07:29:36 PM,02/25/2022 07:35:21 PM,02/25/2022 07:37:06 PM,02/25/2022 07:53:59 PM,GOA,GONE ON ARRIVAL,N,6E01,Josephine St & Coliseum St,70130,6,POINT (-90.07773597 29.93253525),calls_for_service,,
B2953322,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3675144,528131,02/25/2022 09:44:31 PM,02/25/2022 09:45:34 PM,02/25/2022 09:55:36 PM,02/25/2022 09:57:25 PM,GOA,GONE ON ARRIVAL,N,6J02,Martin Luther King Jr Blvd & S Claiborne Ave,70113,6,POINT (-90.08825551 29.94636998),calls_for_service,,
