item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_number,offenderid,offenderstatus,offender_race,offender_gender,offender_age,victim_number,persontype,victim_race,victim_gender,victim_age,victim_fatal_status,hate_crime,report_type,year
A-23934-22,3,064XX Louisville St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/22/2022 2:45,14 62,SIMPLE BURGLARY,1.0,729262.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,43.0,Non-fatal,,Incident Report,2022
A-23934-22,3,064XX Louisville St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/22/2022 2:45,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,729262.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,43.0,Non-fatal,,Incident Report,2022
A-24007-22,3,066XX Franklin Av,OPEN,67,THEFT,1/22/2022 3:00,14 67,THEFT,1.0,729265.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-24007-22,3,066XX Franklin Av,OPEN,67,THEFT,1/22/2022 3:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,729265.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-24007-22,3,066XX Franklin Av,OPEN,67,THEFT,1/22/2022 3:00,,,1.0,729265.0,,UNKNOWN,UNKNOWN,,2.0,REPORTING PERSON,BLACK,MALE,66.0,Non-fatal,,Incident Report,2022
A-24058-22,5,046XX Marais St,OPEN,62B,SIMPLE BURGLARY (BUSINESS),1/21/2022 3:00,14 62,SIMPLE BURGLARY,1.0,729266.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,58.0,Non-fatal,,Incident Report,2022
A-24047-22,7,121XX N I-10 Service Rd #240,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),1/21/2022 0:00,14 62.2,SIMPLE BURGLARY (INHABITED DWELLING),1.0,729268.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,54.0,Non-fatal,,Incident Report,2022
A-24047-22,7,121XX N I-10 Service Rd #240,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),1/21/2022 0:00,,,1.0,729268.0,,UNKNOWN,UNKNOWN,,2.0,INTERVIEW,BLACK,MALE,25.0,Non-fatal,,Incident Report,2022
A-24000-22,5,042XX N Rampart St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/22/2022 2:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,729267.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,34.0,Non-fatal,,Incident Report,2022
A-24000-22,5,042XX N Rampart St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/22/2022 2:00,14 62,SIMPLE BURGLARY,1.0,729267.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,34.0,Non-fatal,,Incident Report,2022
A-24063-22,3,E I-10 & Highrise,OPEN,37,AGGRAVATED ASSAULT,1/22/2022 10:19,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,1.0,729277.0,,BLACK,MALE,,1.0,VICTIM,BLACK,FEMALE,35.0,Non-fatal,,Incident Report,2022
A-24063-22,3,E I-10 & Highrise,OPEN,37,AGGRAVATED ASSAULT,1/22/2022 10:19,14 55,AGG. CRIMINAL DAMAGE,1.0,729277.0,,BLACK,MALE,,1.0,VICTIM,BLACK,FEMALE,35.0,Non-fatal,,Incident Report,2022
