,occurred_date_time,latitude,longitude,hour,item_number,occurred_date,occurred_time
71235,2020-08-20 18:28:00,29.9538711,-90.0698991,18,h2494920,2020-08-20,18:28:00
71239,2020-08-21 12:34:00,29.9449926,-90.0966131,12,h2509320,2020-08-21,12:34:00
71241,2020-08-21 12:34:00,29.9449926,-90.0966131,12,h2509320,2020-08-21,12:34:00
71243,2020-08-21 15:15:00,29.9413365,-90.073811,15,h2553320,2020-08-21,15:15:00
71244,2020-08-21 15:15:00,29.9526803,-90.07061639999999,15,h2571620,2020-08-21,15:15:00
71248,2020-08-22 00:40:00,29.9334243,-90.0884148,0,h2582520,2020-08-22,00:40:00
71290,2020-08-22 09:10:00,30.0119686,-90.0095535,9,h2656920,2020-08-22,09:10:00
71293,2020-08-22 10:49:00,30.0119686,-90.0095535,10,h2656920,2020-08-22,10:49:00
71296,2020-08-22 18:30:00,29.9767811,-90.0481183,18,h2658720,2020-08-22,18:30:00
71298,2020-08-22 18:30:00,29.9767811,-90.0481183,18,h2658720,2020-08-22,18:30:00
71315,2020-08-23 11:49:00,30.0090519,-90.0191293,11,h2757320,2020-08-23,11:49:00
71323,2020-08-23 16:02:00,30.0090519,-90.0191293,16,h2757320,2020-08-23,16:02:00
71331,2020-08-23 16:02:00,30.0090519,-90.0191293,16,h2757320,2020-08-23,16:02:00
71339,2020-08-23 16:02:00,30.0090519,-90.0191293,16,h2757320,2020-08-23,16:02:00
71347,2020-08-23 16:02:00,30.0090519,-90.0191293,16,h2757320,2020-08-23,16:02:00
71355,2020-08-23 16:02:00,30.0090519,-90.0191293,16,h2757320,2020-08-23,16:02:00
71363,2020-08-23 16:02:00,30.0090519,-90.0191293,16,h2757320,2020-08-23,16:02:00
71371,2020-08-23 16:02:00,29.9182822,-89.9812534,16,h2786220,2020-08-23,16:02:00
71377,2020-08-23 16:02:00,29.9182822,-89.9812534,16,h2786220,2020-08-23,16:02:00
71428,2020-08-24 12:35:00,29.9338298,-90.0216801,12,h2943720,2020-08-24,12:35:00
71431,2020-08-24 14:25:00,29.9338298,-90.0216801,14,h2943720,2020-08-24,14:25:00
71456,2020-08-25 11:25:00,29.9296457,-90.01963959999999,11,h3039520,2020-08-25,11:25:00
71457,2020-08-25 11:25:00,30.0090519,-90.0191293,11,h3040120,2020-08-25,11:25:00
71458,2020-08-25 18:20:00,29.94957339999999,-90.086366,18,h3051820,2020-08-25,18:20:00
71467,2020-08-26 09:30:00,29.9491481,-90.093173,9,h3168920,2020-08-26,09:30:00
71470,2020-08-26 15:30:00,29.9491481,-90.093173,15,h3168920,2020-08-26,15:30:00
71476,2020-08-26 15:30:00,29.97058,-90.118836,15,h3187720,2020-08-26,15:30:00
71488,2020-08-27 00:30:00,29.97058,-90.118836,0,h3187720,2020-08-27,00:30:00
71492,2020-08-27 00:30:00,29.9169379,-90.1034754,0,h3256620,2020-08-27,00:30:00
71494,2020-08-27 00:30:00,29.9169379,-90.1034754,0,h3256620,2020-08-27,00:30:00
71496,2020-08-27 00:30:00,29.9757014,-90.0698881,0,h3270720,2020-08-27,00:30:00
71497,2020-08-27 14:10:00,29.9672014,-90.1197974,14,h3280220,2020-08-27,14:10:00
71499,2020-08-27 14:10:00,29.9672014,-90.1197974,14,h3280220,2020-08-27,14:10:00
71501,2020-08-27 17:07:00,29.9302231,-90.01865079999999,17,h3303220,2020-08-27,17:07:00
71504,2020-08-27 18:00:00,29.9302231,-90.01865079999999,18,h3303220,2020-08-27,18:00:00
71507,2020-08-27 18:00:00,29.9302231,-90.01865079999999,18,h3303220,2020-08-27,18:00:00
71519,2020-08-28 00:58:00,29.9363502,-90.0888244,0,h3393620,2020-08-28,00:58:00
71546,2020-08-28 08:07:00,29.9363502,-90.0888244,8,h3393620,2020-08-28,08:07:00
71573,2020-08-28 08:30:00,29.9363502,-90.0888244,8,h3393620,2020-08-28,08:30:00
71600,2020-08-28 15:30:00,29.9777246,-90.0964784,15,h3429920,2020-08-28,15:30:00
71608,2020-08-28 16:10:00,29.9777246,-90.0964784,16,h3429920,2020-08-28,16:10:00
71616,2020-08-28 16:10:00,29.9777246,-90.0964784,16,h3429920,2020-08-28,16:10:00
71624,2020-08-28 16:10:00,29.9777246,-90.0964784,16,h3429920,2020-08-28,16:10:00
71721,2020-08-30 11:30:00,30.0313387,-89.9284256,11,h3699620,2020-08-30,11:30:00
71722,2020-08-30 11:30:00,29.947306,-90.0712188,11,h3742120,2020-08-30,11:30:00
71723,2020-08-30 13:51:00,29.9733369,-90.06637409999999,13,h3753320,2020-08-30,13:51:00
